Words sorted by frequency (descending):
408. "hair" - 158 times
409. "standing" - 158 times
410. "won" - 157 times
411. "terrible" - 157 times
412. "met" - 157 times
413. "husband" - 157 times
414. "women" - 156 times
415. "bagration" - 156 times
416. "speaking" - 156 times
417. "full" - 156 times
418. "times" - 155 times
419. "daughter" - 155 times
420. "light" - 154 times
421. "almost" - 154 times
422. "fact" - 154 times
423. "soul" - 154 times
424. "glanced" - 153 times
425. "answered" - 153 times
426. "pavlovna" - 152 times
427. "re" - 151 times
428. "kept" - 151 times
429. "smiled" - 150 times
430. "free" - 150 times
431. "myself" - 148 times
432. "afraid" - 148 times
433. "reply" - 147 times
434. "tone" - 147 times
435. "known" - 146 times
436. "ever" - 146 times
437. "returned" - 146 times
438. "village" - 146 times
439. "above" - 146 times
440. "russians" - 146 times
441. "cause" - 146 times
442. "reached" - 146 times
443. "repeated" - 146 times
444. "different" - 145 times
445. "family" - 144 times
446. "smiling" - 144 times
447. "less" - 144 times
448. "kind" - 143 times
449. "answer" - 143 times
450. "field" - 143 times
451. "voices" - 143 times
452. "held" - 142 times
453. "together" - 142 times
454. "help" - 141 times
455. "mademoiselle" - 141 times
456. "doctor" - 140 times
457. "lost" - 140 times
458. "doing" - 140 times
459. "hear" - 139 times
460. "especially" - 139 times
461. "state" - 139 times
462. "alexander" - 139 times
463. "often" - 138 times
464. "self" - 138 times
465. "cold" - 138 times
466. "quickly" - 138 times
467. "alpatych" - 137 times
468. "necessary" - 137 times
469. "certain" - 137 times
470. "red" - 137 times
471. "steps" - 137 times
472. "someone" - 137 times
473. "force" - 136 times
474. "boy" - 136 times
475. "listened" - 136 times
476. "followed" - 135 times
477. "twenty" - 135 times
478. "staff" - 135 times
479. "air" - 135 times
480. "sides" - 135 times
481. "ve" - 135 times
482. "please" - 135 times
483. "society" - 135 times
484. "feel" - 134 times
485. "bridge" - 133 times
486. "black" - 133 times
487. "sometimes" - 133 times
488. "later" - 133 times
489. "used" - 132 times
490. "merely" - 131 times
491. "mikhaylovna" - 131 times
492. "bourienne" - 130 times
493. "glad" - 130 times
494. "important" - 130 times
495. "read" - 130 times
496. "command" - 130 times
497. "waiting" - 130 times
498. "girl" - 130 times
499. "immediately" - 130 times
500. "service" - 129 times
501. "killed" - 129 times
502. "happiness" - 129 times
503. "third" - 129 times
504. "law" - 128 times
505. "best" - 128 times
506. "either" - 127 times
507. "excellency" - 127 times
508. "remember" - 127 times
509. "high" - 127 times
510. "money" - 126 times
511. "o" - 126 times
512. "present" - 126 times
513. "bad" - 126 times
514. "reason" - 126 times
515. "contrary" - 125 times
